metric,mean,std
ARI,0.604230080241517,0.3048682067433543
NMI,0.6455104042162516,0.2640760154322533
Silhouette,0.13496706515370696,0.01993788378194906
FeatureStability,0.5700524981727646,0.1764241248253038
