,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
S01,-2.7287008672685853,-4.767853834676117,1.6660741883787276,0.06372429026047205,-1.2385430413122716,-1.1890951209878282,1.9716966190171252,0.2343972117184085,-0.03713303954410606,0.3648117329898982,-0.1378988283181062,-0.428737928476517,0.7864044888123556,2.4725092861615656,-0.44402208542371924
S02,4.083765355557192,0.6861145736970827,-1.010242162727855,0.19094469743522927,0.35980254351619645,0.4195097618444795,-1.9802462471370128,-1.7862724947141289,1.2437560562503192,1.3119896949133416,0.6894719184820791,-0.4480587329880217,-3.9384201705785555,1.2224414516462874,0.46888167736698577
S03,-0.451260109446802,-2.306385020351803,-2.5926757553360353,-1.5436269360311499,2.188766044923305,1.149080393148379,-0.21051578443977245,0.2571929136676793,1.4164480204548529,1.3250827256375564,-0.8964582060790062,0.7217562763543154,-2.0760359606846515,-0.6824611592171119,-0.5443561078461392
S04,0.5067547860615415,-0.3293171212544963,-0.26992721023021393,0.5042572291813139,1.3395784329763893,1.5299221734173898,-0.5162348212522772,-1.9975705785264457,-1.345275960419529,0.11396615045370001,-0.5063916104342596,-0.043567926312140036,0.33760749633391013,-1.9130252530940874,-0.1398008723810679
S05,2.036045290072042,-1.8339330064021702,1.057895821186905,-1.9989366202544065,-2.2651341059211267,1.7717293332758448,1.8903564515627898,1.8637861348471683,-1.8362834080362407,-0.860683135980442,-1.0078809317836035,-0.8550890165649089,-1.0329955526528887,-1.2388079927151872,1.0005801303966464
S06,1.8050987999197827,-2.650760354042529,-2.811782226993085,2.478557193227383,-0.918584713779402,-1.2755964604936596,-3.350345376952463,-1.906819484249198,1.9223451863332244,0.7217407608381221,0.6810862995178272,-3.818030485743378,2.0318007006052676,-0.9129530604160369,0.43836816195883604
S07,-1.9954715183579468,0.8997751261856483,-1.1375564860821066,-1.9864066756705774,-1.0655250717156521,3.8069124754415284,-0.6381645319495496,-2.4585449391549146,-4.193584353658296,0.21825217693555557,0.4765733755045277,-0.5917097667420693,-0.6192494590650917,0.9704316382087168,0.6861153277164924
S08,5.08916105664406,2.339009069985157,0.8572992089899949,-1.1669698008964726,-3.8407813203940435,-2.046864757740686,2.836905228402421,0.09914274274846391,0.43528260117992396,0.72141835356215,1.2604045648073168,1.8999109308330626,0.16904529967706602,1.099493609258063,-1.0007796612657252
S09,-0.6723665225897274,0.5684529522142475,-2.3024730301189487,-1.9487343717516288,4.479394530699023,1.8401281615038714,0.4839146806375868,1.2048082336097397,-0.3457744247883129,0.45572213121243355,-1.4129630586110258,2.196805088017242,1.9768946785070987,-0.02110013947137234,-0.5984139305030448
S10,0.5543774265934953,-1.1778324127411643,-0.39921859654106023,-3.1721184510160167,-2.69602556046408,-1.4150986344578942,-1.4521314103273548,-2.953250346748731,-1.8125217590999816,-2.7953497599761024,1.695417704724538,-0.37046392687712976,1.0798088569022775,-1.0734138005939666,0.9693124250825076
S11,-3.323162332788881,-0.35979255272194177,4.133615717708088,-0.24836733856087073,1.7123396694601716,-1.8177307308006456,0.6633056840003216,1.5351197152683504,2.5784965772472215,-0.29168468527443886,0.45667277433422926,-1.8842361790643265,-1.352571095899154,-1.0368774897321458,1.3992145164349494
S12,0.9654449585843488,-0.1771053850432254,-3.5797749075739227,0.5729512354457771,-2.0983769100515994,-0.8577436885004527,1.6166091921969716,1.3152685180489672,0.9641713711391442,0.12559348938489065,-1.26800735504617,2.186056640407471,1.06102989099667,-1.2349943468002724,2.308742901204454
S13,2.279200068683429,1.2441545906987252,5.2794303569485175,-1.0772702954324187,0.26195118497385067,2.1128454098160843,-0.2041525321479989,0.7400036564677639,-0.9408396223223495,-2.3390758993319087,-1.1121550651450698,-1.354119581793232,1.1871628844613853,-0.2706380427856733,-0.6020503986076211
S14,-0.7813141087181918,0.4003041706470987,-1.0984553515994608,0.059019400657836146,-0.35443599696096495,-0.9019624037720844,0.2694997933658931,-1.1335233670999678,-0.04656876291478916,-2.969869984816426,0.2430908299344416,-0.6561825768544722,-2.3046066621728203,-0.5802792409010832,-0.14831128600506793
S15,3.782824208872213,2.27541859593003,2.228134839406895,3.17029908629073,1.471897913865632,-2.503759254778712,0.8639930960044503,-0.18155555055875022,-0.5991467755316088,1.146479663343461,-1.179370396226715,-1.7359120000048853,-1.59838382234424,-0.3061526666312214,-1.0645552433525247
S16,-0.3850865486918432,0.45255585591594105,2.51598397896481,-1.2856637914935565,2.569773032306696,0.8198758578477818,-2.4889235905629086,1.5670416414143742,0.33636134563971093,-0.6795029246548098,0.22932515288097688,-0.5526946805821097,2.228834796720882,3.481395668991137,0.18473690398360873
S17,0.6164405624492408,-2.782194061672116,1.6152455708373104,-4.639002317334974,1.555085725805354,-3.698807203946917,1.2661449992747242,-2.253173067188009,1.8975837706888268,0.3083439116243118,0.4478696303126214,0.14974568556858062,1.0704301951965247,0.4561131289710665,-0.35333204342127583
S18,0.5304681329937151,-2.4736229287492932,-2.882697527650157,0.4256315730597775,-0.6180402128713783,0.24152427160429515,1.5523125116621597,3.4063171537414645,-0.4065978189606759,-1.8625761971255483,3.756291672066203,0.946459562385152,-1.7955219289042297,1.8289781966147665,-1.6006287788015812
S19,3.3972093133404577,-0.33510053920918853,1.233657299227111,6.044985240124481,1.4061324590903,0.345982332373463,0.9210956778529379,0.6687151672028873,-2.5359859844757744,-1.8329667121714932,-0.15405486500180113,0.8608927211195326,1.200426252168529,-0.36865010728758596,0.8737007033011865
S20,-1.5946985168419934,5.051851522885875,-0.7321512546451715,-1.3433859078388406,-1.1580626777448506,-1.214440412399247,-3.287952088586277,3.053571685179519,0.7849896378661062,2.4093749064796146,1.2731225122642176,1.2418819684738338,-0.43219404383950655,-1.7964309835595262,-1.259901152613964
S21,1.5169068855563737,2.956725590489934,1.7420510064664771,-1.5872782123033737,-3.25200675746024,0.9025423787282005,-0.2556960226173029,0.8701652003667611,1.27246182987043,0.6427420784789902,0.4668129601036344,-0.6164233094380048,0.7656304898182219,0.14657050728292223,0.19162569393206022
S22,-3.5792862391661537,-0.6245577232416091,1.038978849862841,1.4182889568774315,-1.2128875575944646,-0.17127341707432467,-0.821756649422817,0.6650401080620942,-0.5008522625905933,2.292547401233237,1.4136761707260663,1.642199136545135,0.4929635166530177,0.1746066122647604,2.151162561787437
