condition,trials,mean_duration_sec,mean_speed,mean_pupil_mm,total_feedback_events,mean_feedback_ratio
RL,16,108.36484009027481,44.51712883140306,4.249461440373035,34,0.14970691058246213
feedback,17,107.67124035779167,42.87201446560576,4.321449218424262,0,0.0
silence,17,106.37811333992902,45.71592002749909,4.310715055371208,0,0.0
