file,subject_id,condition,trial_start,trial_end,duration_sec,mean_speed,max_speed,mean_abs_steer,mean_throttle,mean_brake,collision_events,feedback_events,feedback_duration_sec,feedback_ratio,pupil_mean_mm,pupil_std_mm,pupil_samples
carla_c06_S01_D01_RL_20260119112503.csv,S01,RL,1768793103.5528803,1768793208.4340775,104.88119721412659,36.25036023054755,54.0,0.005286862682547613,0.5544569524495677,0.0,0,0,0.0,0.0,3.839259203715106,0.2280743513652677,4809
carla_c06_S01_D01_RL_20260119114024.csv,S01,RL,1768794024.7048054,1768794122.7145922,98.00978684425354,41.373493975903614,60.0,0.0076455259683355006,0.1082520558424173,0.0,0,4,34.99761915206909,0.35708290242160706,3.961622133076897,0.27116085365259485,3604
carla_c06_S01_D01_RL_20260119114449.csv,S01,RL,1768794289.7549736,1768794393.067959,103.31298542022705,48.46856831395349,118.0,0.008395420393019925,0.12268604651162791,0.0,0,0,0.0,0.0,3.873627876976796,0.2235316175061698,5076
carla_c06_S01_D01_RL_20260119114659.csv,S01,RL,1768794419.5409064,1768794500.1452613,80.60435485839844,47.39715485074627,108.0,0.008408851868255221,0.18703917910447762,0.0,0,2,9.99360966682434,0.12398349548706887,3.953949030141878,0.20475550223741606,3529
carla_c06_S01_D01_feedback_20260119112811.csv,S01,feedback,1768793292.1438236,1768793406.0119712,113.86814761161804,44.98690101144089,61.0,0.005185232851838688,0.10520775990714641,0.010475045597744984,0,0,0.0,0.0,4.028550336229103,0.30759110293056724,5478
carla_c06_S01_D01_feedback_20260119113623.csv,S01,feedback,1768793783.983423,1768793892.0691953,108.08577227592468,42.602577499129225,63.0,0.0044180652866254045,0.10090107976314873,0.0,0,0,0.0,0.0,3.944540299229242,0.18654798708133877,4330
carla_c06_S01_D01_feedback_20260119113832.csv,S01,feedback,1768793913.1236122,1768794001.1454751,88.02186298370361,41.320186598812555,55.0,0.004394975878983975,0.13173473282442746,0.0,0,0,0.0,0.0,3.818577432585823,0.17212630119864464,3150
carla_c06_S01_D01_feedback_20260119114241.csv,S01,feedback,1768794161.686212,1768794264.3621926,102.67598056793213,45.69924812030075,89.0,0.0050527060810247265,0.1028070786722905,0.0,0,0,0.0,0.0,3.8470892320351298,0.266628765405639,4505
carla_c06_S01_D01_silence_20260119113038.csv,S01,silence,1768793438.186673,1768793522.6069117,84.42023873329163,43.01529933481153,88.0,0.006096690258286989,0.12892838137472284,0.0,0,0,0.0,0.0,3.9956364180262836,0.21177377076168002,3777
carla_c06_S01_D01_silence_20260119113237.csv,S01,silence,1768793557.341866,1768793619.753435,62.41156888008118,36.79898142600359,74.0,0.006072770458042319,0.18400898741761534,0.0,0,0,0.0,0.0,4.049335904184852,0.21877004599597188,2362
carla_c06_S01_D01_silence_20260119113500.csv,S01,silence,1768793700.4171531,1768793759.8951528,59.477999687194824,34.625432798237334,79.0,0.0062245364260905866,0.1738454516839786,0.0,0,0,0.0,0.0,3.70301657926263,0.1425364126882033,2696
carla_c06_S01_D01_silence_20260119114844.csv,S01,silence,1768794524.9649742,1768794607.487218,82.52224373817444,43.14473089099955,82.0,0.007578972558159645,0.14359158751696066,0.0,0,0,0.0,0.0,3.7841591785842232,0.2535000754933829,3846
carla_c06_S02_D01_RL_20260119134604.csv,S02,RL,1768801564.4636538,1768801710.579429,146.1157751083374,45.804258594150845,61.0,0.009336212898929963,0.07729130323242689,0.000986788096459723,0,3,20.009678602218628,0.13694399928674691,4.510253451792676,0.2897887287614507,8124
carla_c06_S02_D01_RL_20260119135539.csv,S02,RL,1768802139.416926,1768802218.9060223,79.48909640312195,46.639150943396224,87.0,0.004106612325940092,0.1678224056603774,0.0,0,4,30.02191734313965,0.3776859808656792,4.238069985189257,0.3069111366755567,3930
