timestamp,Speed,Location_x,Location_y,Location_z,Steer,Throttle,Brake,Collision_Time
1768802851.1071174,0.0,99.99994659423828,12.997783660888672,-0.4983544945716858,-0.004268504996544,0.0,0.0,
1768802851.1238992,0.0,99.99994659423828,12.997783660888672,-0.4983544945716858,-0.0042706283849936,0.0,0.0,
1768802851.1413069,0.0,99.99994659423828,12.997783660888672,-0.4983544945716858,-0.0042706283849936,0.0,0.0,
1768802851.1576028,0.0,99.99994659423828,12.997783660888672,-0.4983544945716858,-0.0042758701802138,0.0,0.0,
1768802851.1759748,0.0,99.99993896484376,12.997782707214355,-0.4985005855560303,-0.004278496207074,0.0,0.0,
1768802851.1997752,0.0,99.99993896484376,12.997782707214355,-0.4985005855560303,-0.004280404179837,0.0,0.0,
1768802851.2173436,0.0,99.99993896484376,12.99777889251709,-0.4985124170780182,-0.0042879437506344,0.0,0.0,
1768802851.2334006,0.0,99.99993896484376,12.99777889251709,-0.4985124170780182,-0.0042918930502665,0.0,0.0,
1768802851.264352,0.0,99.99993133544922,12.997776985168455,-0.4984901249408722,-0.004298314509834,0.0,0.0,
1768802851.281526,0.0,99.99993133544922,12.997776985168455,-0.4984901249408722,-0.0042938728292096,0.0,0.0,
1768802851.2985356,0.0,99.99993133544922,12.997774124145508,-0.4985219538211822,-0.0042903543620455,0.0,0.0,
1768802851.318549,0.0,99.99993133544922,12.997774124145508,-0.4985219538211822,-0.0042903543620455,0.0,0.0,
1768802851.3360758,0.0,99.99991607666016,12.997772216796877,-0.4984963238239288,-0.0042903543620455,0.0,0.0,
1768802851.3530924,0.0,99.99991607666016,12.997772216796877,-0.4984963238239288,-0.0042992172071195,0.0,0.0,
1768802851.3706012,0.0,99.99991607666016,12.997770309448242,-0.498482882976532,-0.0043041307529775,0.0,0.0,
1768802851.3906283,0.0,99.99991607666016,12.997770309448242,-0.498482882976532,-0.0043041307529775,0.0,0.0,
1768802851.4081688,0.0,99.99991607666016,12.997769355773926,-0.4984039962291717,-0.0043036588884186,0.0,0.0,
1768802851.4252045,0.0,99.99991607666016,12.997769355773926,-0.4984039962291717,-0.0043036588884186,0.0,0.0,
1768802851.4427364,0.0,99.99991607666016,12.997769355773926,-0.4984039962291717,-0.0043003763525314,0.0,0.0,
1768802851.460253,0.0,99.99991607666016,12.99776840209961,-0.4983933269977569,-0.004295924413724,0.0,0.0,
1768802851.4777863,0.0,99.99991607666016,12.99776840209961,-0.4983933269977569,-0.0042896055338023,0.0,0.0,
1768802851.4946997,0.0,99.99991607666016,12.997767448425291,-0.4983871281147003,-0.0042836969717831,0.0,0.0,
1768802851.5135317,0.0,99.99991607666016,12.997767448425291,-0.4983871281147003,-0.0042836969717831,0.0,0.0,
1768802851.5316317,0.0,99.99990844726562,12.997767448425291,-0.4983625411987304,-0.0042776653157417,0.0,0.0,
1768802851.549143,0.0,99.99990844726562,12.997767448425291,-0.4983625411987304,-0.0042776653157417,0.0,0.0,
1768802851.567164,0.0,99.99990844726562,12.99776554107666,-0.4983638226985931,-0.0042772755148765,0.0,0.0,
1768802851.5831797,0.0,99.99990844726562,12.99776554107666,-0.4983638226985931,-0.0042714695340764,0.0,0.0,
1768802851.6017013,0.0,99.99990844726562,12.99776554107666,-0.4983589351177215,-0.0042712643757617,0.0,0.0,
1768802851.6187131,0.0,99.99990844726562,12.99776554107666,-0.4983589351177215,-0.0042692538243402,0.0,0.0,
1768802851.6358428,0.0,99.99990844726562,12.99776554107666,-0.4983575642108917,-0.0042641966725445,0.0,0.0,
1768802851.6533875,0.0,99.99990844726562,12.99776554107666,-0.4983575642108917,-0.0042640017721854,0.0,0.0,
1768802851.6788435,0.0,99.99990844726562,12.99776554107666,-0.498323529958725,-0.0042648736948526,0.0,0.0,
1768802851.6954434,0.0,99.99990844726562,12.99776554107666,-0.498323529958725,-0.0042648736948526,0.0,0.0,
1768802851.7139626,0.0,99.99990844726562,12.997764587402344,-0.4983261525630951,-0.0042648736948526,0.0,0.0,
1768802851.7324834,0.0,99.99990844726562,12.997764587402344,-0.4983261525630951,-0.0042630580441463,0.0,0.0,
1768802851.749987,0.0,99.99990844726562,12.997764587402344,-0.4983100295066833,-0.0042591908110307,0.0,0.0,
1768802851.7670023,0.0,99.99990844726562,12.997764587402344,-0.4983100295066833,-0.0042557749264275,0.0,0.0,
1768802851.78702,0.0,99.99990844726562,12.997764587402344,-0.4982807338237762,-0.0042557749264275,0.0,0.0,
1768802851.80404,0.0,99.99990844726562,12.997764587402344,-0.4982807338237762,-0.0042535079281183,0.0,0.0,
1768802851.8215482,0.0,99.99990844726562,12.997764587402344,-0.4982786476612091,-0.0042515589251626,0.0,0.0,
1768802851.8425786,0.0,99.99990844726562,12.997764587402344,-0.4982786476612091,-0.0042464197126175,0.0,0.0,
1768802851.8596542,0.0,99.99990844726562,12.997764587402344,-0.4982786476612091,-0.0042464197126175,0.0,0.0,
1768802851.8766696,0.0,99.99990844726562,12.997764587402344,-0.4982786476612091,-0.0042327561810714,0.0,0.0,
1768802851.9071906,0.0,99.99990844726562,12.997764587402344,-0.4982830584049225,-0.0042280272873623,0.0,0.0,
1768802851.924784,0.0,99.99990844726562,12.997764587402344,-0.4982882142066955,-0.0042428807343499,0.0,0.0,
1768802851.9424248,0.0,99.99990844726562,12.997764587402344,-0.4982882142066955,-0.0042428807343499,0.0,0.0,
1768802851.962437,0.0,99.99990844726562,12.997764587402344,-0.4982882142066955,-0.0042428807343499,0.0,0.0,
1768802851.9797258,0.0,99.99990844726562,12.997764587402344,-0.4982882142066955,-0.0042625451484834,0.0,0.0,
1768802851.9972596,0.0,99.99990844726562,12.997764587402344,-0.4982753694057464,-0.0042625451484834,0.0,0.0,
1768802852.0037682,0.0,99.99990844726562,12.997764587402344,-0.4982753694057464,-0.0042625451484834,0.0,0.0,
1768802852.034341,0.0,99.99990844726562,12.997764587402344,-0.4982753694057464,-0.0043478500577386,0.0,0.0,
1768802852.051351,0.0,99.99990844726562,12.997764587402344,-0.4982753694057464,-0.0043547331348782,0.0,0.0,
1768802852.0733707,0.0,99.99990844726562,12.997763633728027,-0.4982770383358001,-0.004351481368012,0.0,0.0,
1768802852.0904522,0.0,99.99990844726562,12.997763633728027,-0.4982770383358001,-0.004356384663277,0.0,0.0,
1768802852.1067452,0.0,99.99990844726562,12.997763633728027,-0.4982974827289581,-0.004356384663277,0.0,0.0,
1768802852.134349,0.0,99.99990844726562,12.997763633728027,-0.4982974827289581,-0.004356384663277,0.0,0.0,
1768802852.1498537,0.0,99.99990844726562,12.997763633728027,-0.4983158111572265,-0.004356384663277,0.0,0.0,
1768802852.1684232,0.0,99.99990844726562,12.997763633728027,-0.4983158111572265,-0.0043291600995518,0.0,0.0,
1768802852.19754,0.0,99.99990844726562,12.997763633728027,-0.4983201622962951,-0.0042636632610381,0.0,0.0,
1768802852.214426,0.0,99.99990844726562,12.997763633728027,-0.4982937276363373,-0.004239916199202,0.0,0.0,
1768802852.2314649,0.0,99.99990844726562,12.997763633728027,-0.4982937276363373,-0.0042281196084916,0.0,0.0,
1768802852.2536616,0.0,99.99990844726562,12.997763633728027,-0.4982750117778778,-0.0042281196084916,0.0,0.0,
1768802852.2716782,0.0,99.99990844726562,12.997763633728027,-0.4982750117778778,-0.0041485696565029,0.0,0.0,
1768802852.2889922,0.0,99.99990844726562,12.997763633728027,-0.4982661306858063,-0.00412010404871,0.0,0.0,
