timestamp,Speed,Location_x,Location_y,Location_z,Steer,Throttle,Brake,Collision_Time,Feedback_Marker
1768815849.9229608,0.0,100.0,12.998897552490234,-0.4983969032764435,-0.0051847166935323,0.077,0.125,,
1768815849.9400492,0.0,100.0,12.998897552490234,-0.4983969032764435,-0.0051893841788161,0.077,0.125,,
1768815849.9574714,0.0,100.0,12.998897552490234,-0.4983969032764435,-0.0051893841788161,0.076,0.125,,
1768815849.9734497,0.0,100.0,12.998897552490234,-0.4983969032764435,-0.0051962982133354,0.076,0.125,,
1768815849.9904609,0.0,100.0,12.998897552490234,-0.4983969032764435,-0.0051964418283132,0.076,0.125,,
1768815850.0084856,0.0,99.99998474121094,12.998894691467283,-0.4985308647155761,-0.0051964418283132,0.076,0.125,,
1768815850.02608,0.0,99.99998474121094,12.998894691467283,-0.4985308647155761,-0.0051963700208242,0.077,0.125,,
1768815850.043281,0.0,99.99998474121094,12.998894691467283,-0.4985308647155761,-0.0051963700208242,0.077,0.125,,
1768815850.0642326,0.0,99.99998474121094,12.998892784118652,-0.4985612332820892,-0.0051925949987968,0.077,0.125,,
1768815850.081258,0.0,99.99998474121094,12.998892784118652,-0.4985612332820892,-0.0051904612909108,0.077,0.125,,
1768815850.099278,0.0,99.9999771118164,12.998889923095703,-0.4985345304012298,-0.0051916102105223,0.077,0.125,,
1768815850.1165864,0.0,99.9999771118164,12.998889923095703,-0.4985345304012298,-0.0051916102105223,0.076,0.125,,
1768815850.1365263,0.0,99.9999771118164,12.998888969421388,-0.4985508918762207,-0.0051876300249185,0.076,0.125,,
1768815850.1541662,0.0,99.9999771118164,12.998888969421388,-0.4985508918762207,-0.005188091644355,0.077,0.125,,
1768815850.1702127,0.0,99.9999771118164,12.99888801574707,-0.4985105097293854,-0.0051937028856454,0.077,0.125,,
1768815850.1892235,0.0,99.9999771118164,12.99888801574707,-0.4985105097293854,-0.0051937028856454,0.077,0.125,,
1768815850.2157931,0.0,99.9999771118164,12.998886108398438,-0.4984579682350158,-0.0051937028856454,0.077,0.125,,
1768815850.230582,0.0,99.9999771118164,12.998886108398438,-0.4984579682350158,-0.0051948825800213,0.077,0.125,,
1768815850.2520454,0.0,99.9999771118164,12.99888515472412,-0.4984282553195953,-0.005194974903931,0.077,0.125,,
1768815850.269062,0.0,99.9999771118164,12.99888515472412,-0.4984282553195953,-0.005194974903931,0.077,0.125,,
1768815850.287603,0.0,99.99996948242188,12.998884201049805,-0.498420774936676,-0.0052045663339229,0.077,0.125,,
1768815850.30362,0.0,99.99996948242188,12.998884201049805,-0.498420774936676,-0.0052045663339229,0.079,0.125,,
1768815850.3216386,0.0,99.99996948242188,12.998884201049805,-0.4984044432640075,-0.0052075412165953,0.079,0.125,,
1768815850.3456528,0.0,99.99996948242188,12.998884201049805,-0.4983669519424438,-0.0052007297615466,0.077,0.125,,
1768815850.362682,0.0,99.99996948242188,12.998884201049805,-0.4983669519424438,-0.0051955801384573,0.076,0.125,,
1768815850.3796914,0.0,99.99996948242188,12.998884201049805,-0.4983669519424438,-0.0051944107022652,0.076,0.125,,
1768815850.4029522,0.0,99.99996948242188,12.998882293701172,-0.4983587563037872,-0.0051969034478893,0.076,0.125,,
1768815850.4201126,0.0,99.99996948242188,12.998882293701172,-0.4983566701412201,-0.0051996013580029,0.077,0.125,,
1768815850.4364924,0.0,99.99996948242188,12.998882293701172,-0.4983566701412201,-0.0051990063816065,0.077,0.125,,
1768815850.4572237,0.0,99.99996948242188,12.998882293701172,-0.498335063457489,-0.0051912716895606,0.077,0.125,,
1768815850.4761248,0.0,99.99996948242188,12.998882293701172,-0.498335063457489,-0.0051912716895606,0.076,0.125,,
1768815850.4931452,0.0,99.99996948242188,12.998882293701172,-0.498335063457489,-0.0051899688968054,0.076,0.125,,
1768815850.523671,0.0,99.99996948242188,12.998882293701172,-0.4983278512954712,-0.0051950569696287,0.076,0.125,,
1768815850.5412016,0.0,99.99996948242188,12.998882293701172,-0.4982874989509582,-0.0052054382822608,0.076,0.125,,
