timestamp,PupilDiameter
1768792195.8724413,0.0044601099041226
1768792195.8724413,0.0044567251972127
1768792195.8887167,0.0044524895733678
1768792195.9282525,0.0044472284015877
1768792195.9282525,0.004451233391013
1768792195.9364738,0.0044625327079038
1768792195.9541557,0.0044701370647678
1768792195.972851,0.0044750442815028
1768792195.9951837,0.0044812765666476
1768792196.0035534,0.0044842605551557
1768792196.0258722,0.0044872059099718
1768792196.035391,0.0044885788858472
1768792196.0551913,0.0044888811864085
1768792196.0692391,0.0044919735796875
1768792196.0917585,0.0044986475179734
1768792196.105264,0.0045041426370158
1768792196.1182234,0.0045098925650397
1768792196.1398373,0.0045093259812705
1768792196.1583765,0.0045009018612164
1768792196.167435,0.0045046963964033
1768792196.1954129,0.0045113448547406
1768792196.2037804,0.0045113448547406
1768792196.2204006,0.0045094054085208
1768792196.753023,0.0046246395216914
1768792196.77505,0.0046178164026236
1768792196.7850685,0.0046117724550222
1768792196.8253276,0.0045985836650645
1768792196.8253276,0.0045855031376988
1768792196.8413494,0.0045709033791435
1768792196.8615153,0.0045567907655061
1768792196.8670344,0.0045467181260249
1768792197.5737166,0.0043429521340328
1768792197.8391044,0.0043240349232904
1768792197.849615,0.0043311489621582
1768792197.878696,0.0043428285507447
1768792197.8932009,0.0043722950533986
1768792197.9023657,0.0043940986495054
1768792197.9192376,0.0044134702137609
1768792197.9377513,0.004432187491534
1768792197.9517865,0.0044438425573521
1768792197.9692478,0.0044580322316592
1768792197.994965,0.0044796333490213
1768792198.0019743,0.0044955252316286
1768792198.0220082,0.0044984662498905
1768792198.0395696,0.0045121606787394
1768792198.0505865,0.0045243429138504
1768792198.071035,0.004525971800512
1768792198.088064,0.0045371703613579
1768792198.1069715,0.0045415443842623
1768792198.120284,0.0045526438788815
1768792198.1380796,0.004557592312748
1768792198.1561692,0.0045735384457043
1768792198.167681,0.0045835841574942
1768792198.1904252,0.0045907499872154
1768792198.2049706,0.0045976945826249
1768792198.2214882,0.0045984125789138
1768792198.2443702,0.0046089487493375
1768792198.2553916,0.0046106832861906
1768792198.2730784,0.0046217627794957
1768792198.28609,0.0046203309080272
1768792198.2987506,0.0046126171807727
1768792198.3168557,0.0046070577748639
1768792198.3378632,0.0046159655075717
1768792198.3524013,0.0046147797534261
1768792198.3664112,0.0046149053369261
1768792198.3889313,0.0046171387350028
1768792198.4259584,0.0046182058537203
1768792198.4259584,0.004626256687952
1768792198.436474,0.0046323404705592
1768792198.4539328,0.0046329241658863
1768792198.4660969,0.0046317259258653
1768792198.4832437,0.0046258702513775
1768792198.502241,0.0046315522799719
1768792198.5254962,0.0046283189432587
1768792198.5396893,0.0046280450304472
1768792198.5562348,0.0046205720263208
1768792198.572749,0.0046103640739022
1768792198.5857782,0.0045906262808614
1768792198.598289,0.0045905982319072
1768792198.6164846,0.004593372676721
1768792198.631009,0.0045937126572596
1768792199.1943026,0.0044368357864344
1768792199.1943026,0.0044486551031724
1768792199.2025647,0.0044577377229237
1768792199.233648,0.0044760593486759
1768792199.2472494,0.0044891372373384
1768792199.2519388,0.0045005344672272
1768792199.274996,0.0045070082156522
1768792199.291459,0.0045139605578903
1768792199.303964,0.0045199648893972
1768792199.3175752,0.004525110369878
1768792199.336414,0.0045298395640578
1768792199.366048,0.0045337664210917
1768792199.369055,0.0045391739710774
1768792199.3859198,0.0045443449424705
1768792199.4044282,0.0045472365412149
1768792199.418131,0.0045576413305621
1768792199.4387968,0.0045617322985651
1768792199.4515407,0.0045664319262238
1768792199.4760592,0.0045791732666234
1768792199.484059,0.0045882155869145
1768792199.499073,0.0045832115756293
1768792199.516081,0.0045856839420451
1768792199.5425315,0.0045868823502618
1768792199.5515444,0.0045941972294658
1768792199.5655518,0.0045955740250432
1768792199.584065,0.0045924359439228
1768792199.599709,0.0045885231168567
1768792199.61872,0.0045849380422426
1768792199.6425378,0.004588896088798
1768792199.6498735,0.0045876477655653
1768792199.6660829,0.0045875595757065
1768792199.6860902,0.0045870578192337
1768792199.697938,0.0045883334562488
1768792199.723956,0.0045903382972317
1768792199.732462,0.0045853192162001
1768792199.7519743,0.0045865666500532
1768792199.7679958,0.0045858070849171
1768792199.789003,0.0045756028456144
1768792199.8080168,0.0045729371090298
1768792199.815519,0.0045756796383466
1768792199.8310285,0.0045726285664045
1768792199.85705,0.0045523471180197
1768792199.86555,0.0045500181089075
1768792199.8850572,0.0045489677276941
1768792199.905087,0.0045485185132974
1768792199.916594,0.0045371947498227
1768792199.9362054,0.004522701468794
1768792199.9526763,0.0045124400996059
1768792199.9651272,0.0045147905703001
1768792199.9852016,0.0045151137119611
1768792201.962296,0.002619129337408
1768792201.980313,0.0026117215113765
1768792202.0095365,0.0026009342196263
1768792202.018052,0.0026010586851953
1768792202.0322316,0.0025983355189437
1768792202.983667,0.0044459848341189
1768792202.9996834,0.0044577072657348
1768792203.026237,0.004468111772656
1768792203.052852,0.0044719478570334
1768792203.0553558,0.0044878589197324
1768792203.0643609,0.0044916753281614
1768792203.083377,0.0045020523888516
1768792203.1013882,0.0045061747761591
1768792203.123428,0.0045105795678029
1768792203.1319315,0.0045183392252013
1768792203.1763482,0.0045236565492259
1768792203.1823468,0.0045355330764227
1768792203.1843474,0.0045349116845525
1768792203.2023575,0.0045311437767463
1768792203.211863,0.0045318164982176
1768792203.2454088,0.0045343367593526
1768792203.252933,0.0045376824421732
1768792203.268952,0.0045303779931543
1768792203.2824647,0.004527270916734
